Source Port,Destination Port,Protocol,Packet Length,Packet Type,Traffic Type,Malware Indicators,Anomaly Scores,Attack Type,Attack Signature,Action Taken,Severity Level,User Information,Device Information,Network Segment,Firewall Logs,Log Source,Trimestre,Localidad,Region
14137,7709,0,439,1,2,1,2827,2,1,2,1,22830,0,0,0,1,1,134,21
7587,21888,0,1110,1,2,1,5070,2,0,0,1,27434,0,1,0,0,2,60,17
7388,24463,2,242,0,2,1,8595,0,1,1,1,10139,0,2,0,0,3,61,20
8913,14681,2,321,1,2,0,1556,2,1,0,2,9216,0,1,1,0,2,135,20
2365,11942,1,1398,1,0,0,50,0,1,0,1,6462,0,2,1,0,2,20,24
7686,24089,2,1359,1,2,0,567,2,0,2,2,32226,49,2,1,1,3,24,15
11943,7607,1,315,1,0,1,3109,0,1,1,0,7886,105,0,0,1,1,89,14
15641,9063,0,958,1,0,1,5322,1,0,2,0,31323,0,0,0,0,0,229,0
25561,9286,1,1217,0,1,1,5544,1,0,0,0,31812,0,1,0,1,1,13,24
17210,22777,2,160,1,2,0,1628,2,1,0,2,17620,0,0,1,1,2,246,16
16134,15814,0,597,1,2,0,2458,2,1,1,2,10814,0,1,1,1,2,98,7
4564,16618,1,217,0,2,0,8461,2,1,1,1,17084,29,1,1,0,1,207,16
24261,17171,0,0,0,0,1,7302,1,0,0,2,29424,45,1,0,1,2,270,11
19865,4564,0,1277,1,2,0,6116,2,0,1,1,26929,0,2,1,0,0,104,18
21718,15921,2,849,1,0,0,7147,2,1,2,0,10985,0,1,1,0,0,270,13
11198,9446,1,361,1,0,1,8996,1,1,2,2,25876,76,2,0,0,2,50,24
18171,1979,1,774,0,2,1,4315,0,1,1,0,25107,63,1,0,1,1,275,23
7252,23032,1,905,1,2,1,3984,0,0,2,1,26465,0,1,0,0,0,75,16
1619,12012,1,60,0,0,0,4407,0,1,1,0,8928,0,2,1,0,3,246,20
25039,7700,1,397,1,2,1,1300,0,1,1,0,32015,0,1,0,1,2,4,26
11196,16994,0,781,0,0,1,8842,2,1,0,2,16776,0,0,0,0,2,155,27
