Action Taken,Severity Level,Attack Type,Destination Port,Source Port,Anomaly Scores,Packet Length,Localidad
2,1,2,7709,14137,2827,439,134
0,1,2,21888,7587,5070,1110,60
1,1,0,24463,7388,8595,242,61
0,2,2,14681,8913,1556,321,135
0,1,0,11942,2365,50,1398,20
2,2,2,24089,7686,567,1359,24
1,0,0,7607,11943,3109,315,89
2,0,1,9063,15641,5322,958,229
0,0,1,9286,25561,5544,1217,13
0,2,2,22777,17210,1628,160,246
1,2,2,15814,16134,2458,597,98
1,1,2,16618,4564,8461,217,207
0,2,1,17171,24261,7302,0,270
1,1,2,4564,19865,6116,1277,104
2,0,2,15921,21718,7147,849,270
2,2,1,9446,11198,8996,361,50
1,0,0,1979,18171,4315,774,275
2,1,0,23032,7252,3984,905,75
1,0,0,12012,1619,4407,60,246
1,0,0,7700,25039,1300,397,4
0,2,2,16994,11196,8842,781,155
0,1,2,320,17251,8545,346,285
2,0,0,20932,1000,7108,1361,99
2,2,2,12594,18588,9460,54,67
0,2,0,12160,18162,6639,1322,107
2,1,1,14090,10325,8829,369,101
0,0,2,6718,14729,8577,467,150
2,1,0,14904,25709,4372,218,265
0,1,1,19633,29212,4474,1423,275
1,2,1,4908,8886,2537,499,72
2,1,0,22535,28644,6811,1249,264
1,2,0,27940,17829,7582,286,104
1,2,2,21755,5509,383,309,212
0,1,2,7140,4842,2558,1091,173
1,0,0,3314,8327,5959,457,218
0,1,1,6566,18928,6669,1282,135
0,2,0,18295,15653,7396,1247,121
2,1,2,2303,13092,7426,53,253
2,2,2,6733,20932,4826,1207,186
0,2,1,20,1872,8384,244,123
1,2,0,24702,26494,634,481,55
1,1,0,20883,12112,2186,508,81
2,1,0,18275,3,2925,1410,0
0,0,1,22005,25930,1059,1299,89
1,0,2,1312,14922,4148,379,226
2,1,0,20202,27148,7648,962,225
0,0,2,2591,11249,9610,490,16
0,0,1,10380,4410,8196,585,312
0,2,2,26106,10752,4007,1314,101
1,0,0,4403,26268,131,43,210
1,1,0,8517,22252,5601,253,186
0,0,0,10738,25655,88,811,298
0,1,0,5398,14640,7645,512,271
2,0,1,9545,10718,6652,555,298
2,2,2,29162,21294,9022,1160,108
2,1,2,14132,4836,4934,568,48
