Protocol,Packet Type,Traffic Type,Malware Indicators,Alerts/Warnings,Attack Type,Attack Signature,Action Taken,Severity Level,Device Information,Firewall Logs,Log Source,Localidad,Region
0,1,0,0,0,2,1,1,0,0,0,0,238,1
0,1,2,0,1,0,0,1,2,0,1,1,273,15
1,0,0,0,0,2,0,0,1,0,1,1,60,26
1,0,0,1,1,0,1,1,1,0,1,0,20,5
0,1,2,0,0,1,0,1,1,0,1,0,290,12
2,1,2,1,0,0,1,2,1,0,1,1,107,22
2,0,1,0,1,0,0,2,2,0,0,0,17,27
2,0,0,1,0,0,0,2,2,0,1,1,68,23
2,0,0,0,0,2,1,2,0,0,0,1,54,7
0,1,2,1,1,1,0,1,2,0,0,1,13,1
0,0,1,1,0,2,0,1,2,0,0,0,231,9
2,0,2,0,1,1,1,0,2,52,1,0,124,17
2,1,2,1,0,0,1,1,0,37,0,1,179,17
1,1,0,1,1,0,0,2,2,124,0,0,51,27
1,1,2,1,0,1,1,1,0,0,1,0,26,12
1,0,1,0,1,2,1,0,1,0,1,0,164,18
1,0,2,0,1,0,1,0,2,0,0,1,100,20
0,1,0,1,1,2,1,2,0,0,0,0,25,10
2,1,1,0,0,2,1,0,1,152,1,0,32,27
0,1,0,1,1,1,0,0,1,0,1,1,68,7
1,0,1,0,0,1,1,0,1,0,1,1,186,27
2,1,0,0,0,0,1,1,2,99,0,0,23,7
1,0,1,0,0,0,1,1,1,0,0,1,248,9
1,1,2,0,1,0,0,0,1,0,0,1,311,8
0,0,2,0,0,0,1,1,2,0,0,0,136,13
2,0,0,1,1,1,1,2,2,0,1,1,198,1
2,0,2,0,0,0,1,0,1,0,0,1,97,9
1,1,1,0,1,1,1,2,1,0,0,1,80,25
0,0,2,1,1,1,1,1,2,0,1,0,227,19
1,1,1,0,0,0,1,2,1,0,0,0,314,19
1,1,0,1,1,0,0,0,1,16,1,0,191,10
1,0,1,0,0,2,1,2,1,0,1,1,180,8
2,1,2,1,0,0,1,0,1,0,0,1,146,8
2,1,1,1,0,0,1,2,1,0,1,1,52,24
0,1,2,0,0,0,0,2,1,0,0,0,183,13
1,1,0,0,1,2,1,2,1,0,1,0,148,26
2,1,2,1,1,1,0,2,2,0,0,1,102,15
1,0,1,1,1,1,0,1,0,0,1,0,119,13
0,0,1,0,1,0,0,1,2,0,0,0,185,11
2,0,1,0,1,2,1,0,0,0,1,1,145,19
2,1,2,0,1,2,0,0,0,0,1,0,100,16
2,1,2,1,0,1,0,2,1,0,0,1,87,4
0,0,1,1,0,0,1,0,2,155,1,0,89,15
1,0,0,1,1,0,0,0,2,0,0,1,189,20
2,0,1,1,0,1,0,1,2,0,1,0,152,18
1,1,0,0,0,1,1,2,0,0,1,0,247,13
2,0,0,0,0,1,0,0,2,0,0,1,77,25
2,1,1,0,1,0,1,0,0,0,1,0,270,21
1,1,0,1,0,2,1,2,0,0,0,1,22,12
1,1,2,1,0,2,0,0,0,0,1,1,141,22
2,0,0,1,0,0,1,0,1,0,1,0,72,6
0,0,0,1,1,1,1,0,1,167,0,1,168,6
2,0,2,0,1,0,0,0,1,0,1,0,199,13
1,1,1,0,0,2,1,2,1,0,0,0,229,11
2,0,2,0,0,2,0,1,1,11,0,1,197,22
2,1,0,1,1,0,1,1,2,0,0,1,219,10
2,1,0,0,1,2,0,0,2,0,1,1,172,8
1,1,0,0,0,1,1,1,1,0,0,1,297,6
0,0,0,1,1,2,1,2,1,0,0,1,188,8
0,0,0,0,0,0,0,2,1,80,0,1,73,4
0,0,1,0,1,1,1,0,0,0,1,0,132,13
2,1,0,0,1,0,0,2,1,0,0,0,266,12
0,1,1,0,1,1,1,2,0,0,1,1,72,11
0,0,0,1,1,0,0,2,2,0,0,1,298,7
2,1,1,0,0,2,0,0,0,0,1,0,91,19
0,1,0,1,1,1,0,0,1,0,0,1,198,9
0,1,2,0,1,1,0,2,0,0,1,0,175,0
0,0,2,1,1,0,1,2,1,26,1,1,132,21
2,1,1,1,1,0,0,0,0,0,0,1,229,27
2,1,2,1,1,2,0,2,0,0,1,1,294,12
1,0,1,1,1,0,0,2,1,177,1,0,263,4
0,0,1,0,1,1,0,0,0,0,0,1,29,2
1,1,2,1,0,1,1,2,0,155,0,1,53,1
2,0,1,0,1,0,0,0,0,0,0,1,183,8
2,0,1,0,1,2,0,1,0,0,1,1,78,4
0,0,0,1,0,1,1,2,1,0,1,0,225,6
0,1,1,1,1,0,0,2,0,0,1,1,213,23
2,1,0,0,0,1,0,2,0,0,1,0,14,24
2,0,0,1,1,1,1,0,1,0,0,0,221,27
